URL,Artikelnummer,Produktname,Preis Flachkanal,Preis Ventilation,Kurze Beschreibung,Artikelbeschreibung,Bild URL,Manufactor,Meta Title,Meta Beschreibung
https://www.flachkanalmarkt.de/01APS-101-Belimo-Diffdruckschalter-2001000-Pa,BE- 201733031,"01APS-101 Belimo Diff.druckschalter 200...1000 Pa",24.22,23.01,"Belimo Diff.druckschalter 200...1000 Pa","Belimo Diff.druckschalter 200...1000 Pa
Differenzdruck-Schalter  200 ...1000 Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
Inkl. 2-Kanal-Anschlussstutzen
(Kunststoff)
Inkl. 2 m Schlauch (PVC)
 
Fabrikat:  Belimo
Typ:  01APS-101",https://www.flachkanalmarkt.de/media/image/product/26670/lg/201733031_01aps-101-belimo-diffdruckschalter-2001000-pa.jpg,Belimo,"01APS-101 Belimo Diff.druckschalter 200...1000 Pa",
https://www.flachkanalmarkt.de/01APS-1011-Belimo-Diffdruckschalter-2001000-Pa,BE- 202260202,"01APS-101.1 Belimo Diff.druckschalter 200...1000 Pa",809.94,769.44,"Belimo Diff.druckschalter 200...1000 Pa","Belimo Diff.druckschalter 200...1000 Pa
Differenzdruck-Schalter   200...1000 Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
 
Multipack-Einheit: 45 Stück
Schalter ohne Schlauch und
Anschlusselemente.
 
Montagezubehör A-22AP-A05.1
Kanal-Anschlussset für 01APS-..
muss separat bestellt werden.
 
Fabrikat:  Belimo
Typ:  01APS-101.1",https://www.flachkanalmarkt.de/media/image/product/55911/lg/202260202_01aps-1011-belimo-diffdruckschalter-2001000-pa.jpg,Belimo,"01APS-101.1 Belimo Diff.druckschalter 200...1000 Pa",
https://www.flachkanalmarkt.de/01APS-104-Belimo-Diffdruckschalter-5002500-Pa,BE- 201733032,"01APS-104 Belimo Diff.druckschalter 500...2500 Pa",24.22,23.01,"Belimo Diff.druckschalter 500...2500 Pa","Belimo Diff.druckschalter 500...2500 Pa
Differenzdruck-Schalter  500 ...2500 Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
Inkl. 2-Kanal-Anschlussstutzen
(Kunststoff)
Inkl. 2 m Schlauch (PVC)
 
Fabrikat:  Belimo
Typ:  01APS-104",https://www.flachkanalmarkt.de/media/image/product/26671/lg/201733032_01aps-104-belimo-diffdruckschalter-5002500-pa.jpg,Belimo,"01APS-104 Belimo Diff.druckschalter 500...2500 Pa",
https://www.flachkanalmarkt.de/01APS-1041-Belimo-Diffdruckschalter-5002500-Pa,BE- 202260203,"01APS-104.1 Belimo Diff.druckschalter 500...2500 Pa",809.94,769.44,"Belimo Diff.druckschalter 500...2500 Pa","Belimo Diff.druckschalter 500...2500 Pa
Differenzdruck-Schalter   500...2500 Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
 
Multipack-Einheit: 45 Stück
Schalter ohne Schlauch und
Anschlusselemente.
 
Montagezubehör A-22AP-A05.1
Kanal-Anschlussset für 01APS-..
muss separat bestellt werden.
 
Fabrikat:  Belimo
Typ:  01APS-104.1",https://www.flachkanalmarkt.de/media/image/product/55912/lg/202260203_01aps-1041-belimo-diffdruckschalter-5002500-pa.jpg,Belimo,"01APS-104.1 Belimo Diff.druckschalter 500...2500 Pa",
https://www.flachkanalmarkt.de/01APS-105-Belimo-Diffdruckschalter-10005000-Pa,BE- 202260204,"01APS-105 Belimo Diff.druckschalter 1000...5000 Pa",24.22,23.01,"Belimo Diff.druckschalter 1000...5000 Pa","Belimo Diff.druckschalter 1000...5000 Pa
Differenzdruck-Schalter  1000...5000 Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
Inkl. 2-Kanal-Anschlussstutzen
(Kunststoff)
Inkl. 2 m Schlauch (PVC)
 
Fabrikat:  Belimo
Typ:  01APS-105",https://www.flachkanalmarkt.de/media/image/product/55913/lg/202260204_01aps-105-belimo-diffdruckschalter-10005000-pa.jpg,Belimo,"01APS-105 Belimo Diff.druckschalter 1000...5000 Pa",
https://www.flachkanalmarkt.de/01APS-10R-Belimo-Diffdruckschalter-20300-Pa,BE- 201733033,"01APS-10R Belimo Diff.druckschalter 20...300 Pa",24.22,23.01,"Belimo Diff.druckschalter 20...300 Pa","Belimo Diff.druckschalter 20...300 Pa
Differenzdruck-Schalter  20  ...300  Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
Inkl. 2-Kanal-Anschlussstutzen
(Kunststoff)
Inkl. 2 m Schlauch (PVC)
 
Fabrikat:  Belimo
Typ:  01APS-10R",https://www.flachkanalmarkt.de/media/image/product/26672/lg/201733033_01aps-10r-belimo-diffdruckschalter-20300-pa.jpg,Belimo,"01APS-10R Belimo Diff.druckschalter 20...300 Pa",
https://www.flachkanalmarkt.de/01APS-10R1-Belimo-Diffdruckschalter-20300-Pa,BE- 202260205,"01APS-10R.1 Belimo Diff.druckschalter 20...300 Pa",809.94,769.44,"Belimo Diff.druckschalter 20...300 Pa","Belimo Diff.druckschalter 20...300 Pa
Differenzdruck-Schalter    20...300  Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
 
Multipack-Einheit: 45 Stück
Schalter ohne Schlauch und
Anschlusselemente.
 
Montagezubehör A-22AP-A05.1
Kanal-Anschlussset für 01APS-..
muss separat bestellt werden.
 
Fabrikat:  Belimo
Typ:  01APS-10R.1",https://www.flachkanalmarkt.de/media/image/product/55914/lg/202260205_01aps-10r1-belimo-diffdruckschalter-20300-pa.jpg,Belimo,"01APS-10R.1 Belimo Diff.druckschalter 20...300 Pa",
https://www.flachkanalmarkt.de/01APS-10U-Belimo-Diffdruckschalter-50500-Pa,BE- 201733034,"01APS-10U Belimo Diff.druckschalter 50...500 Pa",24.66,23.43,"Belimo Diff.druckschalter 50...500 Pa","Belimo Diff.druckschalter 50...500 Pa
Differenzdruck-Schalter  50  ...500  Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
Inkl. 2-Kanal-Anschlussstutzen
(Kunststoff)
Inkl. 2 m Schlauch (PVC)
 
Fabrikat:  Belimo
Typ:  01APS-10U",https://www.flachkanalmarkt.de/media/image/product/26673/lg/201733034_01aps-10u-belimo-diffdruckschalter-50500-pa.jpg,Belimo,"01APS-10U Belimo Diff.druckschalter 50...500 Pa",
https://www.flachkanalmarkt.de/01APS-10U1-Belimo-Diffdruckschalter-50500-Pa,BE- 202260206,"01APS-10U.1 Belimo Diff.druckschalter 50...500 Pa",809.94,769.44,"Belimo Diff.druckschalter 50...500 Pa","Belimo Diff.druckschalter 50...500 Pa
Differenzdruck-Schalter    50...500  Pa
Sollwert-Bereich einstellbar
Ausgang Schaltkontakt:  1 x EPU
                        AC 250 V / 1 A
Schutzart:  NEMA 13 / IP54
 
Multipack-Einheit: 45 Stück
Schalter ohne Schlauch und
Anschlusselemente.
 
Montagezubehör A-22AP-A05.1
Kanal-Anschlussset für 01APS-..
muss separat bestellt werden.
 
Fabrikat:  Belimo
Typ:  01APS-10U.1",https://www.flachkanalmarkt.de/media/image/product/55915/lg/202260206_01aps-10u1-belimo-diffdruckschalter-50500-pa.jpg,Belimo,"01APS-10U.1 Belimo Diff.druckschalter 50...500 Pa",
https://www.flachkanalmarkt.de/01ATS-1040B-Belimo-Frostwaechter-passiv-Schalter,BE- 202150738,"01ATS-1040B Belimo Frostwächter passiv, Schalter,",68.72,65.28,"Belimo Frostwächter passiv, Schalter,","Belimo Frostwächter passiv, Schalter,
Frostwächter passiv
Kapillare:  3 m
Messbereich:  -10...15 Grad C
Werkseinstellung:  5 Grad C
Ausgang Schaltkontakt:  1 x EPU
                     AC 230 V / 2,5 A
Reset-Version:  automatisch
Schutzart:  IP65
 
 
Fabrikat:  Belimo
Typ:  01ATS-1040B",https://www.flachkanalmarkt.de/media/image/product/46450/lg/202150738_01ats-1040b-belimo-frostwaechter-passiv-schalter.jpg,Belimo,"01ATS-1040B Belimo Frostwächter passiv, Schalter,",
